number,id,name,speed,positionX,positionY,timestamp,lane,in,out,left_id,front_id,right_id,back_id,left_distance,front_distance,right_distance,back_distance
353,10,traffic light,2km/h,310,321,1688833122479
354,11,traffic light,3km/h,1039,74,1688833122479
355,12,car,,292,535,1688833122479
356,32,car,78km/h,292,533,1688833122479
357,34,traffic light,0km/h,1259,372,1688833122479
358,4,car,12km/h,500,382,1688833122512
359,5,person,11km/h,1055,568,1688833122512
360,6,bicycle,3km/h,1059,600,1688833122512
361,7,traffic light,2km/h,587,321,1688833122512
362,9,car,1km/h,1237,516,1688833122512
363,10,traffic light,2km/h,309,320,1688833122512
364,11,traffic light,3km/h,1039,74,1688833122512
365,12,car,81km/h,280,536,1688833122512
366,26,car,,735,422,1688833122512
367,32,car,78km/h,280,535,1688833122512
368,34,traffic light,1km/h,1259,371,1688833122512
369,4,car,12km/h,502,382,1688833122545
370,5,person,11km/h,1054,569,1688833122545
371,6,bicycle,3km/h,1059,600,1688833122545
372,7,traffic light,2km/h,587,321,1688833122545
373,9,car,1km/h,1237,516,1688833122545
374,10,traffic light,2km/h,309,320,1688833122545
375,11,traffic light,3km/h,1039,74,1688833122545
376,12,car,81km/h,268,537,1688833122545
377,26,car,20km/h,738,422,1688833122545
378,32,car,78km/h,268,536,1688833122545
379,34,traffic light,1km/h,1259,371,1688833122545
380,4,car,10km/h,502,382,1688833122579
381,5,person,11km/h,1051,569,1688833122579
382,6,bicycle,3km/h,1059,599,1688833122579
383,7,traffic light,2km/h,587,321,1688833122579
384,9,car,2km/h,1236,516,1688833122579
385,10,traffic light,2km/h,309,320,1688833122579
386,11,traffic light,3km/h,1039,73,1688833122579
387,12,car,78km/h,257,536,1688833122579
388,26,car,17km/h,739,424,1688833122579
389,32,car,78km/h,256,537,1688833122579
390,34,traffic light,1km/h,1259,371,1688833122579
391,4,car,11km/h,504,382,1688833122612
392,5,person,12km/h,1049,569,1688833122612
393,6,bicycle,3km/h,1059,599,1688833122612
394,7,traffic light,2km/h,587,321,1688833122612
395,9,car,2km/h,1236,517,1688833122612
396,10,traffic light,2km/h,309,320,1688833122612
397,11,traffic light,3km/h,1039,73,1688833122612
398,12,car,79km/h,245,538,1688833122612
399,26,car,13km/h,740,424,1688833122612
400,32,car,80km/h,239,536,1688833122612
401,34,traffic light,1km/h,1259,370,1688833122612
402,4,car,11km/h,506,382,1688833122645
403,5,person,12km/h,1046,569,1688833122645
404,6,bicycle,2km/h,1059,599,1688833122645
405,7,traffic light,1km/h,587,321,1688833122645
406,9,car,2km/h,1236,517,1688833122645
407,10,traffic light,2km/h,309,320,1688833122645
408,11,traffic light,3km/h,1039,73,1688833122645
409,12,car,87km/h,227,537,1688833122645
410,26,car,14km/h,742,425,1688833122645
411,32,car,81km/h,226,537,1688833122645
412,34,traffic light,1km/h,1259,370,1688833122645
413,4,car,10km/h,507,382,1688833122679
414,5,person,12km/h,1044,570,1688833122679
415,6,bicycle,2km/h,1059,599,1688833122679
416,7,traffic light,1km/h,587,321,1688833122679
417,9,car,2km/h,1236,517,1688833122679
418,10,traffic light,2km/h,309,319,1688833122679
419,11,traffic light,3km/h,1039,73,1688833122679
420,12,car,90km/h,212,538,1688833122679
421,32,car,82km/h,211,538,1688833122679
422,34,traffic light,2km/h,1259,371,1688833122679
423,4,car,10km/h,508,382,1688833122712
424,5,person,12km/h,1047,569,1688833122712
425,6,bicycle,2km/h,1059,599,1688833122712
426,7,traffic light,1km/h,587,321,1688833122712
427,9,car,2km/h,1237,517,1688833122712
428,10,traffic light,2km/h,310,318,1688833122712
429,11,traffic light,3km/h,1039,73,1688833122712
430,12,car,90km/h,198,537,1688833122712
431,32,car,82km/h,198,537,1688833122712
432,34,traffic light,1km/h,1259,371,1688833122712
433,5,person,12km/h,1048,569,1688833122745
434,6,bicycle,2km/h,1059,599,1688833122745
435,7,traffic light,1km/h,587,321,1688833122745
436,9,car,2km/h,1236,517,1688833122745
437,10,traffic light,2km/h,310,319,1688833122745
438,11,traffic light,3km/h,1039,72,1688833122745
439,12,car,89km/h,186,537,1688833122745
440,32,car,81km/h,188,538,1688833122745
441,4,car,,511,382,1688833122779
442,5,person,12km/h,1045,570,1688833122779
443,6,bicycle,2km/h,1059,599,1688833122779
444,7,traffic light,1km/h,587,321,1688833122779
445,9,car,2km/h,1236,517,1688833122779
446,10,traffic light,2km/h,309,319,1688833122779
447,11,traffic light,3km/h,1039,72,1688833122779
448,12,car,83km/h,181,538,1688833122779
449,32,car,79km/h,183,539,1688833122779
450,4,car,13km/h,513,382,1688833122812
451,5,person,14km/h,1057,570,1688833122812
452,6,bicycle,2km/h,1059,599,1688833122812
453,7,traffic light,1km/h,587,321,1688833122812
454,9,car,2km/h,1236,517,1688833122812
455,10,traffic light,2km/h,309,319,1688833122812
456,11,traffic light,3km/h,1039,72,1688833122812
457,12,car,77km/h,178,539,1688833122812
458,26,car,,745,428,1688833122812
459,32,car,77km/h,179,539,1688833122812
460,42,car,,507,382,1688833122812
461,4,car,6km/h,513,382,1688833122845
462,5,person,14km/h,1061,570,1688833122845
463,6,bicycle,2km/h,1059,599,1688833122845
464,7,traffic light,1km/h,587,321,1688833122845
465,9,car,2km/h,1238,517,1688833122845
466,10,traffic light,2km/h,310,319,1688833122845
467,11,traffic light,3km/h,1038,74,1688833122845
468,12,car,73km/h,172,540,1688833122845
469,26,car,24km/h,747,431,1688833122845
470,32,car,76km/h,173,538,1688833122845
471,42,car,6km/h,508,382,1688833122845
472,4,car,8km/h,515,382,1688833122879
473,5,person,14km/h,1061,570,1688833122879
474,6,bicycle,2km/h,1059,599,1688833122879
475,9,car,2km/h,1238,517,1688833122879
476,10,traffic light,2km/h,310,318,1688833122879
477,11,traffic light,3km/h,1038,75,1688833122879
478,12,car,70km/h,167,540,1688833122879
479,26,car,15km/h,747,432,1688833122879
480,32,car,74km/h,168,539,1688833122879
481,34,traffic light,,1259,375,1688833122879
482,4,car,8km/h,516,383,1688833122912
483,5,person,14km/h,1060,571,1688833122912
484,6,bicycle,2km/h,1059,599,1688833122912
485,7,traffic light,,587,322,1688833122912
486,9,car,2km/h,1238,517,1688833122912
487,10,traffic light,3km/h,309,317,1688833122912
488,11,traffic light,3km/h,1037,74,1688833122912
489,12,car,68km/h,160,537,1688833122912
490,26,car,13km/h,746,433,1688833122912
491,32,car,73km/h,163,537,1688833122912
492,34,traffic light,9km/h,1258,376,1688833122912
493,4,car,7km/h,516,383,1688833122945
494,5,person,13km/h,1061,571,1688833122945
495,6,bicycle,2km/h,1060,600,1688833122945
496,7,traffic light,6km/h,587,323,1688833122945
497,9,car,2km/h,1238,517,1688833122945
498,10,traffic light,3km/h,309,318,1688833122945
499,11,traffic light,3km/h,1037,74,1688833122945
500,12,car,66km/h,154,536,1688833122945
501,26,car,13km/h,748,433,1688833122945
502,32,car,72km/h,157,537,1688833122945
503,34,traffic light,4km/h,1258,376,1688833122945
504,4,car,6km/h,517,383,1688833122979
505,5,person,13km/h,1061,571,1688833122979
506,6,bicycle,2km/h,1060,599,1688833122979
507,7,traffic light,3km/h,587,323,1688833122979
508,9,car,2km/h,1238,517,1688833122979
509,10,traffic light,3km/h,310,318,1688833122979
510,11,traffic light,3km/h,1038,74,1688833122979
511,12,car,65km/h,147,536,1688833122979
512,34,traffic light,3km/h,1258,376,1688833122979
513,44,car,,622,400,1688833122979
514,5,person,13km/h,1062,571,1688833123012
515,6,bicycle,2km/h,1059,599,1688833123012
516,7,traffic light,2km/h,587,323,1688833123012
517,9,car,2km/h,1238,517,1688833123012
518,10,traffic light,3km/h,310,317,1688833123012
519,11,traffic light,3km/h,1037,73,1688833123012
520,12,car,63km/h,142,536,1688833123012
521,34,traffic light,2km/h,1258,376,1688833123012
522,44,car,13km/h,624,400,1688833123012
523,4,car,,517,385,1688833123045
524,5,person,13km/h,1061,570,1688833123045
525,6,bicycle,2km/h,1061,600,1688833123045
526,7,traffic light,3km/h,588,323,1688833123045
527,9,car,2km/h,1238,517,1688833123045
528,10,traffic light,3km/h,310,318,1688833123045
529,11,traffic light,3km/h,1037,73,1688833123045
530,12,car,62km/h,136,537,1688833123045
531,34,traffic light,1km/h,1258,376,1688833123045
532,44,car,9km/h,624,399,1688833123045
533,4,car,6km/h,518,385,1688833123079
534,5,person,13km/h,1061,570,1688833123079
535,6,bicycle,2km/h,1061,600,1688833123079
536,9,car,2km/h,1238,517,1688833123079
537,10,traffic light,3km/h,310,319,1688833123079
538,11,traffic light,3km/h,1038,73,1688833123079
539,12,car,60km/h,131,537,1688833123079
540,34,traffic light,2km/h,1258,377,1688833123079
541,5,person,12km/h,1061,570,1688833123112
542,6,bicycle,2km/h,1061,600,1688833123112
543,7,traffic light,,588,323,1688833123112
544,9,car,1km/h,1238,517,1688833123112
545,10,traffic light,3km/h,310,319,1688833123112
546,11,traffic light,3km/h,1038,73,1688833123112
547,34,traffic light,4km/h,1259,375,1688833123112
548,47,car,,108,538,1688833123112
549,5,person,12km/h,1062,569,1688833123145
550,6,bicycle,2km/h,1061,600,1688833123145
551,7,traffic light,0km/h,588,323,1688833123145
552,9,car,1km/h,1238,517,1688833123145
553,10,traffic light,3km/h,310,319,1688833123145
554,11,traffic light,3km/h,1038,73,1688833123145
555,34,traffic light,3km/h,1259,375,1688833123145
556,44,car,,629,401,1688833123145
557,47,car,42km/h,102,536,1688833123145
558,5,person,12km/h,1062,569,1688833123179
559,6,bicycle,2km/h,1061,600,1688833123179
560,9,car,1km/h,1238,517,1688833123179
561,10,traffic light,3km/h,310,319,1688833123179
562,11,traffic light,3km/h,1038,74,1688833123179
563,34,traffic light,3km/h,1259,375,1688833123179
564,44,car,15km/h,631,402,1688833123179
565,47,car,31km/h,99,536,1688833123179
566,5,person,12km/h,1062,569,1688833123212
567,6,bicycle,2km/h,1061,600,1688833123212
568,7,traffic light,,588,323,1688833123212
569,9,car,1km/h,1238,517,1688833123212
570,10,traffic light,3km/h,310,319,1688833123212
571,11,traffic light,3km/h,1037,74,1688833123212
572,34,traffic light,3km/h,1259,375,1688833123212
573,44,car,12km/h,632,403,1688833123212
574,5,person,12km/h,1062,569,1688833123245
575,6,bicycle,2km/h,1060,600,1688833123245
576,7,traffic light,0km/h,588,323,1688833123245
577,9,car,1km/h,1238,517,1688833123245
578,10,traffic light,3km/h,310,319,1688833123245
579,11,traffic light,3km/h,1037,74,1688833123245
580,34,traffic light,3km/h,1258,376,1688833123245
581,42,car,,520,381,1688833123245
582,5,person,11km/h,1061,569,1688833123279
583,6,bicycle,2km/h,1060,600,1688833123279
584,9,car,1km/h,1238,517,1688833123279
585,10,traffic light,3km/h,310,318,1688833123279
586,11,traffic light,3km/h,1038,74,1688833123279
587,34,traffic light,3km/h,1258,376,1688833123279
588,42,car,9km/h,521,382,1688833123279
589,49,car,,60,537,1688833123279
590,5,person,11km/h,1061,569,1688833123312
591,6,bicycle,2km/h,1060,601,1688833123312
592,7,traffic light,,587,323,1688833123312
593,9,car,1km/h,1238,518,1688833123312
594,10,traffic light,3km/h,310,318,1688833123312
595,11,traffic light,3km/h,1038,74,1688833123312
596,34,traffic light,3km/h,1259,376,1688833123312
597,44,car,,641,404,1688833123312
598,49,car,33km/h,55,537,1688833123312
599,5,person,11km/h,1061,570,1688833123345
600,6,bicycle,2km/h,1059,600,1688833123345
601,7,traffic light,0km/h,587,323,1688833123345
602,9,car,1km/h,1238,518,1688833123345
